user_id,book_id,hold_date,expiry_date
458,143,2024-04-05,2024-07-07
226,11,2024-01-28,2024-07-10
430,78,2024-01-16,2024-06-23
132,69,2024-04-01,2024-02-12
120,43,2024-02-11,2024-01-06
123,189,2024-04-08,2024-04-19
358,134,2024-06-05,2024-06-06
259,83,2024-01-03,2024-04-07
208,144,2024-08-20,2024-04-10
302,32,2024-02-02,2024-03-07
477,185,2024-08-31,2024-04-26
220,3,2024-01-17,2024-03-30
250,196,2024-10-09,2024-10-27
422,129,2024-05-09,2024-06-01
389,80,2024-05-13,2024-06-18
39,28,2024-04-26,2024-04-08
408,32,2024-01-22,2024-07-19
74,5,2024-03-07,2024-06-24
56,126,2024-04-20,2024-05-09
260,24,2024-03-11,2024-08-24
1,158,2024-03-17,2024-06-25
143,109,2024-08-12,2024-10-02
7,13,2024-10-04,2024-07-25
248,37,2024-11-01,2024-01-15
69,62,2024-05-05,2024-05-05
25,2,2024-07-09,2024-05-30
201,8,2024-04-17,2024-10-11
442,77,2024-03-06,2024-05-13
73,175,2024-01-31,2024-05-07
488,50,2024-09-02,2024-07-29
80,44,2024-04-19,2024-03-02
258,109,2024-02-24,2024-07-06
321,17,2024-01-19,2024-06-06
149,183,2024-10-31,2024-01-05
490,198,2024-10-10,2024-03-31
196,50,2024-06-17,2024-06-14
259,113,2024-07-07,2024-03-26
64,75,2024-02-26,2024-05-23
172,7,2024-06-23,2024-04-08
371,149,2024-07-18,2024-03-30
238,10,2024-06-13,2024-06-03
39,42,2024-03-27,2024-08-03
136,26,2024-03-03,2024-02-07
445,37,2024-10-20,2024-01-13
405,3,2024-06-14,2024-09-29
202,99,2024-01-30,2024-04-09
487,60,2024-04-07,2024-02-06
413,61,2024-07-06,2024-08-19
83,60,2024-01-17,2024-05-18
43,149,2024-09-16,2024-01-21
53,86,2024-01-25,2024-08-04
323,1,2024-01-31,2024-09-23
310,153,2024-04-01,2024-10-11
53,132,2024-06-04,2024-01-26
197,110,2024-05-17,2024-10-04
65,9,2024-08-02,2024-09-20
121,106,2024-01-07,2024-07-14
104,46,2024-05-26,2024-03-13
470,83,2024-05-31,2024-08-17
37,128,2024-02-14,2024-01-22
429,43,2024-08-06,2024-04-06
223,139,2024-02-15,2024-03-15
302,72,2024-06-10,2024-01-20
90,162,2024-10-24,2024-09-21
21,136,2024-02-18,2024-02-05
475,166,2024-02-11,2024-03-26
308,109,2024-04-06,2024-05-29
94,54,2024-08-06,2024-09-06
372,64,2024-01-25,2024-06-01
447,41,2024-08-15,2024-08-15
210,99,2024-01-07,2024-09-09
433,153,2024-01-07,2024-04-14
47,151,2024-06-20,2024-02-04
26,14,2024-01-05,2024-07-06
116,64,2024-10-02,2024-01-24
115,189,2024-04-07,2024-05-13
12,23,2024-06-27,2024-09-02
230,51,2024-05-16,2024-04-07
213,78,2024-10-08,2024-07-06
384,185,2024-04-01,2024-04-24
385,178,2024-01-16,2024-05-21
264,85,2024-09-09,2024-10-30
51,105,2024-09-23,2024-11-05
468,93,2024-07-21,2024-01-12
388,1,2024-06-12,2024-06-03
314,62,2024-05-13,2024-04-13
118,27,2024-10-28,2024-05-01
415,27,2024-06-01,2024-04-27
485,148,2024-07-11,2024-07-22
214,173,2024-08-02,2024-08-01
17,88,2024-02-19,2024-10-08
358,122,2024-06-11,2024-08-15
144,93,2024-03-06,2024-11-04
81,41,2024-09-24,2024-09-08
155,88,2024-05-27,2024-10-04
141,6,2024-02-27,2024-07-17
474,177,2024-07-10,2024-08-23
122,87,2024-02-26,2024-01-20
454,58,2024-04-01,2024-05-03
76,18,2024-05-13,2024-04-12
181,113,2024-10-28,2024-01-03
285,63,2024-06-02,2024-06-09
404,138,2024-09-14,2024-08-13
92,93,2024-05-26,2024-04-17
473,79,2024-10-10,2024-09-03
84,170,2024-04-08,2024-06-04
345,134,2024-08-13,2024-10-24
299,87,2024-06-17,2024-05-31
361,153,2024-06-21,2024-09-17
12,150,2024-02-26,2024-05-11
53,24,2024-10-12,2024-05-10
473,183,2024-08-28,2024-04-24
441,98,2024-08-22,2024-05-04
42,155,2024-07-28,2024-11-10
256,18,2024-07-28,2024-03-19
455,132,2024-01-09,2024-01-13
233,119,2024-07-10,2024-11-09
411,141,2024-05-29,2024-01-30
436,180,2024-01-01,2024-07-23
59,166,2024-03-28,2024-08-04
417,112,2024-10-11,2024-07-09
227,91,2024-01-13,2024-08-25
357,164,2024-07-02,2024-09-16
182,162,2024-01-24,2024-03-12
198,178,2024-03-18,2024-05-15
271,29,2024-06-29,2024-05-16
330,12,2024-02-07,2024-10-07
461,101,2024-10-02,2024-10-17
194,71,2024-03-18,2024-07-23
473,174,2024-08-19,2024-03-26
335,118,2024-03-07,2024-02-14
131,4,2024-03-21,2024-04-21
63,147,2024-10-07,2024-07-11
250,44,2024-08-21,2024-03-28
113,60,2024-06-10,2024-07-23
38,131,2024-03-23,2024-07-03
3,108,2024-01-22,2024-07-02
22,128,2024-08-23,2024-06-04
90,96,2024-02-19,2024-03-06
104,137,2024-05-11,2024-07-01
392,94,2024-05-05,2024-05-27
390,77,2024-11-03,2024-11-05
165,181,2024-11-10,2024-06-09
352,167,2024-07-01,2024-10-25
232,34,2024-01-12,2024-07-25
45,129,2024-09-09,2024-03-09
319,84,2024-10-16,2024-06-19
93,22,2024-01-26,2024-05-29
185,52,2024-04-09,2024-07-03
290,2,2024-08-04,2024-01-21
362,185,2024-08-29,2024-11-07
179,102,2024-07-15,2024-01-03
274,154,2024-05-24,2024-01-18
470,149,2024-11-02,2024-02-06
7,28,2024-02-25,2024-04-02
123,198,2024-11-10,2024-04-07
424,51,2024-09-16,2024-08-27
212,144,2024-07-19,2024-02-16
206,76,2024-03-01,2024-01-05
137,59,2024-03-02,2024-07-17
21,21,2024-09-19,2024-05-12
192,51,2024-11-05,2024-02-08
83,140,2024-06-13,2024-08-02
388,42,2024-10-01,2024-02-04
389,93,2024-02-06,2024-10-14
142,70,2024-08-06,2024-09-06
35,180,2024-03-17,2024-02-01
126,177,2024-06-22,2024-05-13
169,57,2024-06-26,2024-10-07
270,168,2024-06-10,2024-08-04
350,135,2024-02-24,2024-05-10
497,6,2024-05-12,2024-04-13
149,122,2024-06-01,2024-07-18
26,54,2024-06-01,2024-05-10
154,196,2024-01-27,2024-07-12
414,56,2024-05-04,2024-08-28
112,184,2024-01-03,2024-07-12
361,40,2024-03-02,2024-08-07
245,153,2024-07-15,2024-03-19
12,181,2024-09-11,2024-09-03
105,143,2024-08-20,2024-01-26
165,34,2024-08-27,2024-04-19
344,86,2024-01-21,2024-10-25
50,5,2024-06-30,2024-10-23
36,81,2024-02-28,2024-03-04
158,97,2024-09-30,2024-09-09
95,18,2024-08-20,2024-09-02
31,133,2024-04-28,2024-07-11
455,65,2024-09-18,2024-07-11
487,84,2024-04-22,2024-09-30
139,173,2024-07-27,2024-07-16
240,11,2024-10-28,2024-06-04
18,37,2024-06-11,2024-06-30
476,113,2024-01-24,2024-04-28
255,127,2024-01-01,2024-08-23
269,88,2024-04-04,2024-02-02
385,61,2024-11-10,2024-03-03
407,145,2024-10-15,2024-05-07
271,128,2024-10-08,2024-09-29
489,22,2024-01-10,2024-06-03
