user_id,book_id,loan_date,due_date
425,121,2024-08-26,2024-05-09
33,64,2024-10-28,2024-07-08
304,136,2024-05-11,2024-07-14
108,101,2024-07-17,2024-08-08
336,199,2024-11-01,2024-03-03
287,77,2024-08-23,2024-03-03
284,11,2024-08-09,2024-10-31
493,86,2024-08-01,2024-01-24
33,4,2024-07-25,2024-09-08
441,16,2024-08-13,2024-07-09
183,197,2024-10-28,2024-11-07
66,58,2024-02-11,2024-01-02
224,55,2024-10-31,2024-03-17
221,42,2024-08-06,2024-09-09
433,42,2024-05-15,2024-05-04
11,188,2024-09-20,2024-07-09
297,150,2024-05-18,2024-06-25
399,53,2024-09-24,2024-07-31
213,146,2024-09-05,2024-10-12
88,173,2024-03-05,2024-07-04
500,86,2024-05-10,2024-05-26
213,158,2024-08-20,2024-04-07
245,146,2024-01-18,2024-10-09
72,74,2024-03-05,2024-11-09
494,22,2024-06-24,2024-07-19
296,80,2024-10-06,2024-02-04
4,2,2024-09-29,2024-02-17
260,62,2024-09-02,2024-01-05
95,41,2024-10-30,2024-01-24
225,76,2024-01-06,2024-03-22
316,67,2024-05-19,2024-06-08
347,169,2024-10-20,2024-02-13
448,109,2024-08-11,2024-04-22
313,14,2024-02-14,2024-01-10
478,28,2024-09-10,2024-04-14
52,25,2024-09-18,2024-08-18
266,53,2024-08-17,2024-04-30
229,12,2024-10-26,2024-02-02
352,194,2024-08-30,2024-08-07
483,178,2024-03-28,2024-09-26
183,156,2024-01-28,2024-03-05
347,153,2024-10-06,2024-06-27
245,95,2024-06-26,2024-09-11
271,78,2024-07-27,2024-01-10
212,86,2024-07-24,2024-05-25
7,91,2024-01-16,2024-06-04
242,196,2024-01-12,2024-03-28
219,126,2024-02-22,2024-04-07
155,69,2024-08-11,2024-02-15
413,92,2024-04-22,2024-09-28
36,131,2024-10-25,2024-10-18
141,148,2024-07-14,2024-10-01
42,164,2024-02-19,2024-03-18
96,190,2024-07-24,2024-03-12
145,131,2024-08-12,2024-08-18
208,85,2024-06-20,2024-03-30
40,34,2024-10-17,2024-01-03
99,101,2024-11-10,2024-06-06
55,35,2024-02-01,2024-01-21
493,172,2024-06-02,2024-05-04
202,92,2024-10-25,2024-01-29
127,15,2024-07-06,2024-07-08
299,119,2024-09-23,2024-01-23
54,43,2024-02-13,2024-01-17
381,39,2024-02-24,2024-04-16
261,120,2024-01-13,2024-06-30
210,25,2024-05-23,2024-05-01
119,168,2024-06-07,2024-09-17
27,173,2024-06-04,2024-06-29
107,154,2024-02-28,2024-01-27
230,42,2024-05-16,2024-01-04
214,49,2024-02-25,2024-02-06
486,68,2024-01-24,2024-03-29
66,101,2024-01-12,2024-01-12
436,60,2024-08-05,2024-09-09
13,95,2024-07-08,2024-04-17
27,24,2024-10-16,2024-04-04
93,47,2024-06-19,2024-09-19
90,86,2024-05-17,2024-03-04
262,104,2024-03-29,2024-06-14
498,10,2024-04-27,2024-06-06
70,53,2024-08-28,2024-02-21
140,101,2024-01-13,2024-01-08
357,176,2024-09-29,2024-09-09
297,36,2024-01-03,2024-10-22
246,124,2024-02-26,2024-08-02
6,19,2024-03-21,2024-10-06
32,9,2024-09-10,2024-02-20
131,61,2024-03-14,2024-02-03
214,18,2024-03-04,2024-10-20
455,33,2024-03-08,2024-10-16
337,109,2024-10-08,2024-06-24
201,1,2024-10-20,2024-01-28
360,123,2024-10-24,2024-01-12
446,199,2024-06-29,2024-06-23
39,113,2024-08-21,2024-09-18
60,10,2024-04-23,2024-03-29
216,175,2024-01-19,2024-01-29
308,76,2024-09-23,2024-08-06
110,69,2024-02-18,2024-10-16
241,122,2024-05-10,2024-03-12
34,175,2024-03-19,2024-09-25
318,150,2024-02-07,2024-02-16
65,164,2024-03-10,2024-08-26
388,119,2024-06-26,2024-07-16
196,141,2024-05-17,2024-10-12
61,117,2024-02-13,2024-06-06
449,124,2024-05-13,2024-07-30
79,60,2024-01-29,2024-04-28
240,80,2024-08-29,2024-07-14
267,161,2024-08-14,2024-01-22
123,12,2024-10-20,2024-11-09
31,90,2024-02-01,2024-05-11
360,149,2024-05-20,2024-09-23
221,44,2024-10-17,2024-09-18
283,140,2024-03-13,2024-03-18
336,170,2024-08-03,2024-04-21
458,166,2024-03-29,2024-07-16
417,22,2024-05-28,2024-05-09
147,164,2024-10-05,2024-10-18
471,87,2024-10-04,2024-01-27
373,60,2024-08-07,2024-06-05
168,200,2024-02-01,2024-03-19
16,1,2024-09-14,2024-02-12
217,77,2024-07-27,2024-01-26
286,94,2024-04-29,2024-04-24
16,195,2024-03-12,2024-10-15
21,96,2024-01-09,2024-04-19
105,160,2024-09-11,2024-07-26
409,175,2024-08-21,2024-08-12
388,190,2024-10-08,2024-09-24
298,53,2024-05-23,2024-08-10
43,29,2024-10-10,2024-06-27
70,146,2024-09-02,2024-02-28
460,69,2024-03-05,2024-06-09
203,53,2024-01-06,2024-05-25
408,76,2024-09-26,2024-01-23
290,26,2024-05-09,2024-03-08
130,40,2024-02-09,2024-06-05
347,111,2024-02-09,2024-05-28
23,175,2024-03-15,2024-01-30
468,37,2024-02-27,2024-02-25
306,66,2024-03-15,2024-06-29
107,49,2024-03-21,2024-09-18
101,35,2024-03-02,2024-05-04
136,42,2024-08-10,2024-07-05
290,42,2024-10-22,2024-09-23
463,61,2024-06-13,2024-06-01
439,128,2024-06-07,2024-08-06
283,19,2024-05-20,2024-07-01
125,83,2024-07-18,2024-01-02
382,186,2024-02-02,2024-02-05
323,142,2024-07-14,2024-07-30
423,81,2024-09-27,2024-03-14
316,86,2024-09-29,2024-06-29
175,56,2024-01-19,2024-09-13
469,139,2024-02-17,2024-01-18
156,186,2024-02-22,2024-03-17
474,145,2024-08-24,2024-06-22
298,63,2024-10-19,2024-08-21
446,197,2024-04-21,2024-07-10
263,114,2024-11-04,2024-02-26
147,109,2024-03-05,2024-10-09
287,166,2024-10-12,2024-08-20
109,110,2024-02-20,2024-06-26
68,32,2024-10-13,2024-08-01
60,182,2024-02-12,2024-07-05
426,161,2024-10-17,2024-03-26
148,96,2024-02-17,2024-08-29
463,18,2024-10-17,2024-09-03
137,144,2024-02-12,2024-02-05
164,165,2024-09-02,2024-09-08
177,46,2024-05-30,2024-09-24
34,163,2024-03-02,2024-09-20
54,14,2024-07-26,2024-07-03
137,150,2024-08-28,2024-07-11
234,126,2024-08-24,2024-05-04
259,94,2024-10-09,2024-01-24
273,47,2024-03-30,2024-10-10
259,60,2024-03-16,2024-07-25
315,105,2024-03-06,2024-02-19
427,108,2024-03-07,2024-09-28
365,178,2024-01-04,2024-08-28
107,150,2024-02-20,2024-03-03
481,16,2024-09-13,2024-06-11
407,16,2024-08-05,2024-04-13
416,159,2024-06-21,2024-08-17
94,3,2024-07-27,2024-09-11
248,10,2024-10-28,2024-07-04
298,7,2024-05-29,2024-09-12
59,25,2024-01-28,2024-06-21
77,49,2024-07-27,2024-04-07
262,1,2024-05-17,2024-07-05
184,125,2024-01-20,2024-07-09
487,141,2024-04-04,2024-01-27
93,120,2024-08-18,2024-11-04
253,99,2024-05-11,2024-07-27
207,38,2024-02-24,2024-10-17
444,41,2024-02-17,2024-09-21
364,148,2024-10-24,2024-09-08
275,90,2024-07-04,2024-06-29
463,115,2024-06-13,2024-01-20
358,135,2024-05-31,2024-08-25
477,189,2024-06-05,2024-05-23
105,151,2024-04-13,2024-08-08
436,147,2024-02-21,2024-07-31
280,195,2024-03-24,2024-10-21
319,106,2024-08-18,2024-08-02
361,17,2024-11-01,2024-06-30
307,2,2024-08-15,2024-08-19
282,172,2024-01-23,2024-01-13
375,82,2024-05-08,2024-08-09
11,35,2024-07-20,2024-01-14
323,76,2024-09-10,2024-07-06
238,52,2024-03-26,2024-09-07
290,178,2024-07-03,2024-09-27
360,67,2024-09-19,2024-09-11
379,167,2024-04-02,2024-06-12
33,11,2024-02-14,2024-10-06
331,30,2024-02-29,2024-10-19
142,49,2024-02-21,2024-05-03
112,164,2024-04-11,2024-06-24
319,121,2024-04-20,2024-08-23
219,120,2024-11-08,2024-01-10
291,142,2024-03-28,2024-01-18
220,98,2024-08-25,2024-07-04
282,147,2024-05-14,2024-09-05
453,196,2024-03-02,2024-03-22
161,3,2024-01-07,2024-09-23
60,169,2024-07-10,2024-10-24
90,22,2024-04-04,2024-05-25
132,179,2024-05-16,2024-03-28
415,128,2024-08-23,2024-04-07
20,97,2024-07-13,2024-07-26
240,84,2024-09-29,2024-11-05
247,54,2024-09-04,2024-07-12
478,163,2024-08-27,2024-09-22
327,138,2024-01-10,2024-04-29
148,139,2024-08-27,2024-08-28
470,63,2024-07-04,2024-02-23
145,62,2024-09-25,2024-05-28
479,175,2024-01-21,2024-09-18
74,34,2024-02-02,2024-03-26
379,21,2024-08-04,2024-07-01
309,98,2024-04-06,2024-03-11
70,174,2024-04-28,2024-02-08
116,199,2024-07-14,2024-03-12
316,56,2024-03-20,2024-07-02
363,200,2024-03-21,2024-08-21
299,154,2024-01-26,2024-03-25
120,103,2024-08-14,2024-09-01
192,86,2024-07-22,2024-03-01
216,128,2024-09-27,2024-02-13
255,106,2024-06-21,2024-10-31
287,189,2024-05-02,2024-08-16
497,47,2024-09-09,2024-08-06
92,96,2024-10-06,2024-03-20
345,156,2024-04-12,2024-08-19
486,153,2024-05-01,2024-03-27
361,144,2024-04-08,2024-10-19
251,77,2024-08-25,2024-10-29
106,98,2024-09-18,2024-02-05
83,86,2024-01-12,2024-10-20
292,44,2024-07-31,2024-01-02
482,7,2024-02-03,2024-09-15
286,115,2024-01-16,2024-05-29
64,126,2024-09-11,2024-02-29
34,44,2024-11-01,2024-06-09
118,142,2024-03-27,2024-09-01
277,131,2024-05-05,2024-03-19
365,119,2024-11-06,2024-03-07
395,43,2024-05-20,2024-09-13
450,155,2024-05-19,2024-01-10
126,184,2024-10-05,2024-02-23
15,33,2024-06-29,2024-05-04
327,138,2024-10-28,2024-09-29
61,102,2024-05-15,2024-07-24
212,144,2024-05-10,2024-06-06
293,166,2024-07-12,2024-11-05
