user_id,book_id,hold_date,expiry_date
363,12,2024-01-17,2024-01-21
296,22,2024-10-13,2024-10-14
258,26,2024-11-03,2024-11-07
406,103,2024-01-16,2024-01-23
227,21,2024-05-04,2024-05-10
183,31,2024-06-18,2024-06-21
387,148,2024-10-07,2024-10-11
368,76,2024-04-27,2024-05-02
488,44,2024-02-03,2024-02-09
77,3,2024-10-14,2024-10-16
218,104,2024-08-07,2024-08-14
85,140,2024-10-03,2024-10-05
221,7,2024-02-27,2024-03-04
299,107,2024-09-18,2024-09-21
382,34,2024-11-03,2024-11-07
353,40,2024-09-24,2024-09-26
328,131,2024-01-13,2024-01-16
276,134,2024-11-01,2024-11-04
407,20,2024-01-22,2024-01-24
245,84,2024-07-20,2024-07-23
40,194,2024-06-08,2024-06-09
154,104,2024-05-25,2024-05-31
51,144,2024-06-11,2024-06-15
424,4,2024-05-29,2024-06-05
75,57,2024-08-01,2024-08-07
312,52,2024-09-20,2024-09-22
367,19,2024-08-26,2024-08-28
138,127,2024-09-21,2024-09-24
395,88,2024-08-11,2024-08-17
384,60,2024-01-07,2024-01-13
131,29,2024-01-27,2024-01-31
116,199,2024-08-10,2024-08-11
371,154,2024-07-21,2024-07-27
381,176,2024-08-26,2024-08-31
19,67,2024-09-15,2024-09-18
306,161,2024-10-09,2024-10-16
22,92,2024-10-18,2024-10-25
108,186,2024-10-08,2024-10-11
27,26,2024-02-12,2024-02-19
293,122,2024-07-28,2024-08-03
405,47,2024-02-25,2024-02-26
115,71,2024-10-18,2024-10-21
11,38,2024-05-24,2024-05-30
406,48,2024-10-10,2024-10-17
143,19,2024-09-04,2024-09-09
88,75,2024-09-05,2024-09-08
84,47,2024-06-29,2024-07-06
463,1,2024-06-26,2024-06-30
92,115,2024-05-05,2024-05-06
290,165,2024-07-10,2024-07-16
45,15,2024-06-21,2024-06-25
241,26,2024-09-18,2024-09-19
3,71,2024-10-17,2024-10-19
418,70,2024-01-28,2024-01-30
7,105,2024-06-24,2024-06-28
8,20,2024-09-09,2024-09-10
431,155,2024-07-05,2024-07-07
172,74,2024-04-23,2024-04-28
163,94,2024-02-16,2024-02-22
289,2,2024-10-15,2024-10-17
2,112,2024-02-23,2024-03-01
