book_id,library_id,quantity
159,36,2
29,25,8
57,37,14
170,42,9
117,6,19
118,29,9
142,50,9
164,20,9
161,21,17
116,3,13
171,10,7
4,16,13
117,35,9
173,36,6
185,23,9
111,11,3
24,5,20
138,15,7
137,38,16
142,23,13
120,31,10
163,13,3
24,26,14
78,6,4
187,46,12
93,49,3
70,41,2
91,16,12
163,27,14
59,19,7
190,20,10
181,47,2
27,40,14
162,8,5
143,46,7
179,36,7
89,8,13
85,28,2
101,25,4
162,25,19
110,30,7
45,3,2
87,11,13
65,16,12
35,35,4
30,18,10
154,3,11
113,4,8
61,25,1
50,5,18
167,21,3
5,11,9
118,8,4
36,14,9
107,41,15
42,9,7
20,23,20
108,43,14
86,23,15
140,24,16
19,1,17
131,35,16
53,4,4
134,30,5
190,29,18
107,1,4
105,38,18
95,6,1
96,28,15
180,9,16
80,45,18
130,3,9
176,3,17
55,12,10
68,14,3
128,1,6
158,37,3
38,41,11
141,3,18
81,20,17
25,32,8
148,48,15
107,41,18
111,11,15
95,47,8
139,21,5
182,50,15
111,17,15
177,1,13
192,12,18
139,41,16
140,48,15
5,34,2
135,48,5
161,27,1
137,16,3
82,28,15
34,8,4
48,28,1
77,30,10
57,43,13
68,4,5
4,36,14
41,39,9
67,23,17
30,3,19
123,42,18
10,24,3
48,9,17
157,24,14
131,6,3
57,8,17
77,17,20
176,4,19
96,10,12
16,47,18
41,29,17
62,40,20
113,20,19
170,3,1
112,28,3
10,35,2
5,12,8
195,31,10
122,29,10
60,14,6
158,39,9
110,27,15
164,6,18
163,32,13
177,18,9
127,47,7
73,42,3
28,21,20
86,19,9
73,35,8
24,40,7
125,4,10
142,44,18
196,10,6
18,5,13
117,26,13
86,30,3
96,15,9
181,15,19
80,29,5
91,3,9
53,40,2
82,37,8
87,28,10
8,43,19
27,1,19
193,30,13
106,31,1
57,12,11
137,14,10
34,20,5
134,38,20
49,1,18
138,27,17
153,10,11
143,24,4
74,17,20
90,36,14
15,41,20
118,30,7
103,43,17
114,27,5
8,17,16
165,6,9
29,16,13
48,42,1
17,40,7
142,22,5
109,48,3
71,21,18
44,33,7
145,20,7
140,15,8
120,38,13
132,50,2
94,38,5
132,28,2
105,21,11
167,6,13
90,23,7
200,25,16
48,16,9
56,25,18
96,29,14
65,21,20
191,9,12
175,44,8
172,14,1
81,19,16
6,34,8
117,3,8
182,33,20
15,19,18
139,2,9
